,subject_id,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl
242,91321193,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/22735c1d-483d-4f8f-a3b0-9d8742d8dfe9.png
243,91321199,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6a5fc609-988f-41f3-a57d-ec87b8562353.png
244,91321219,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2898b1bd-7c6c-4c0d-9233-f449b90b2568.png
245,91321225,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8738a6b7-42aa-461c-8c0c-5bcaf3095d36.png
246,91321233,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0c286df5-d0b6-49ec-9803-e32b2eeef407.png
247,91321234,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4ee64264-5eb4-4c13-a63b-ead911a4ccd7.png
248,91321235,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e9c64c2f-1f2b-4402-9eaa-05d49ce49d1c.png
249,91321254,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/40000b2b-7e4d-4034-83e9-076cd0c14b50.png
250,91321259,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/536b57f6-45d7-4f23-851e-d098ea9da0b9.png
251,91321274,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/344ddba3-e107-4087-99de-70664d96bae3.png
252,91321276,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1b102918-b4b4-40c8-a395-071c9bdf788c.png
253,91321294,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1c65f189-62ff-40d9-9ba9-e672de643310.png
254,91321297,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f8f4a3d7-e945-4d12-a99a-45c3eaba10f9.png
255,91321303,6.0,4.0,2.0,0.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/79ffc225-2850-42ba-802d-5e1537ed5564.png
256,91321324,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f818fb74-743f-4e85-8fe3-6441dec0b856.png
257,91321331,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/30496c41-40f5-4e15-9eae-cb1f3fd26f71.png
258,91321343,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/290a9202-e718-4d09-a695-9a4f82adca29.png
259,91321351,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4071ca4a-0245-4091-a336-110ba0b79dca.png
260,91321359,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/281b3214-a9d5-471f-b734-2d86ac6ca674.png
261,91321361,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ff7ac3b1-6019-4d88-ba71-066124d8c2fe.png
262,91321362,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/427ec3da-dd62-4e16-a435-781f62b63e97.png
263,91321377,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b18d1109-d799-487e-a13c-3b3fbbd8aab9.png
264,91321387,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8bf38d74-032f-4b30-a5c6-4b7d7025f8a5.png
265,91321389,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a2ca24cc-5bd4-42af-bfa0-29f5c586c3ec.png
266,91321396,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fdd6bfdf-63e0-4c61-99cb-2ac0a1e29337.png
267,91321398,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e931cb2c-198c-4e08-85aa-8cfd5ff68d85.png
268,91321446,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/63631cbc-61de-4a16-9b49-0410d08b777c.png
269,91321449,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ef64d1c6-f05d-4418-afc8-888c37e3a837.png
270,91321463,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c298a142-08a5-46d8-86d1-205dc7407cd1.png
271,91321466,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/be32128c-38a8-4c89-bd6b-fee7fd02e706.png
272,91321470,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b94de3d1-b622-496b-9720-1fdabaac13f8.png
273,91321472,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/3fd7a391-bace-41f0-b6e9-ab62be2d6939.png
274,91321475,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1866706f-7ff3-4ddd-8bb3-d2b9b7efa92b.png
275,91321479,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/9259b4e8-95e0-4021-958f-c237e149d6e4.png
276,91321482,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/883bb679-fec5-4c80-819e-6ffac16803e3.png
277,91321484,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/99a203a9-bf91-49bf-8c91-864f7e6c1cb1.png
278,91321488,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/14ee7fe5-96a4-4366-bcf0-29997f2f2335.png
279,91321490,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/faf38ebe-794b-46b4-b5b7-53ac5ab7888c.png
280,91321492,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b786f9c2-451e-47e4-aea6-a60500d76b0d.png
281,91321500,7.0,7.0,0.0,0.0,1.0,0.0,7,https://panoptes-uploads.zooniverse.org/subject_location/14f6e754-8ebc-4d16-9d22-6b3f4c4ae9d9.png
282,91321505,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0c7175fb-d1f6-488d-be40-77180b56f6fa.png
283,91321508,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/92a61ead-0f84-4aa3-942d-4652eddb9f22.png
284,91321519,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/5f00c6c7-cbfd-4f42-b045-294a4ba2908a.png
285,91321524,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/84b80f1a-3056-4e63-a39a-93e13fe94a2e.png
286,91321527,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/9f5dace0-6034-4306-a204-2903449d9fbb.png
287,91321539,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a0ea43cd-d8db-44ed-a412-e42c8e38a3fb.png
288,91321550,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0bf7ce02-6668-458e-abe1-dbb06f664190.png
289,91321552,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4567f6bd-b934-4ba3-b9ac-fc03676aaf2a.png
290,91321560,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/359226af-4c4d-4e8a-a380-fe269f6d6e55.png
291,91321561,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2a99a87c-e1cf-4fad-a197-52cf0d62d4f8.png
292,91321564,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1abf9e2b-8922-4f16-a9eb-fb87f4b4badf.png
293,91321567,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ae771143-ca08-4494-878f-b98c956d96f9.png
294,91321569,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b22b6fef-77ce-45ae-ba45-afd310320441.png
295,91321582,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a4a4cbdb-e6f5-4f84-bd78-e509dac7c362.png
296,91321628,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/26176c49-16ed-4f0f-80bd-47035850be99.png
297,91321629,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a40df816-f16e-4351-bb6f-bcd49891a535.png
298,91321634,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2913c874-7b38-4715-8430-d4ad645d0402.png
299,91321636,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f96ce87e-0815-4148-814c-7f4504936b9f.png
300,91321637,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f63cfabb-7688-4328-809f-d81ca9428ce9.png
301,91321646,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/271ee22e-04cd-4791-b6df-e9de0e5b8c30.png
302,91321652,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/63583633-dce7-4cca-951a-f1213cf438b6.png
303,91321654,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b82a7237-9b06-48ed-b51c-a10ac3372c74.png
304,91321655,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ceedcec7-8fbe-4d70-9f37-21e38489c7c4.png
305,91321669,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/adf23122-2c70-453c-836e-9071f03a075d.png
306,91321679,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/db38c857-1ce9-4534-bd12-698bb0a86c7f.png
307,91321720,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c33bb48e-5900-472e-b27c-2bf895188346.png
308,91321726,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/bd387ef0-4e54-4c9c-a13a-a2d338501feb.png
309,91321734,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1fff7511-1db0-4012-8226-a280dbd1e66c.png
310,91321765,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/de728464-9ae0-4b03-8d2c-580b7e60446e.png
311,91321767,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/961d5b70-54c3-4544-95be-e28aad0480d7.png
312,91321781,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fe30318d-3688-4d74-99f8-70daedd59785.png
313,91321802,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a6eca983-f8c9-4120-8505-3ba013facd03.png
314,91321832,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/19a0a9c6-acf0-4daa-a3d6-dcbe96af7e32.png
315,91321886,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/68250fb6-31ba-4178-90cd-cc6fe575ea94.png
316,91321894,5.0,5.0,0.0,0.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/15550db5-ae89-4993-9cd0-587df87db802.png
317,91321897,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/3a9d34e0-1b63-43cb-8083-65a5df346180.png
318,91321900,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/5c9058c9-c32d-42e7-bff0-c2b36a5a5510.png
