Filename,a,b
010738-713454.png,6.82,5.58
010737-713502.png,11.07,10.63
010738-713433.png,6.62,6.02
010934-713418.png,6.98,6.1
005846-722946.png,6.35,5.9
010329-715407.png,6.75,6.08
010350-712315.png,9.8,9.8
010201-724002.png,6.7,5.99
010051-715200.png,7.96,7.03
005653-721243.png,6.73,6.16
010448-722220.png,6.55,6.14
011250-715902.png,6.55,6.12
005429-715812.png,6.57,5.95
005804-720309.png,6.72,6.02
005526-715924.png,9.05,6.83
010135-723557.png,7.81,6.57
010745-720438.png,6.53,6.16
010925-713736.png,6.79,5.98
010838-721857.png,10.4,9.58
010102-720500.png,6.55,6.01
010344-715020.png,6.59,6.11
010435-720836.png,6.34,6.32
010435-720858.png,7.4,6.95
005745-722341.png,6.79,6.38
010619-714043.png,7.0,6.14
010853-723600.png,6.3,6.07
010438-714638.png,6.66,5.86
010201-715537.png,6.62,6.2
010125-713856.png,6.78,6.41
005537-715503.png,6.54,6.46
010509-723235.png,9.47,8.28
005604-720917.png,8.76,6.22
010745-723357.png,6.91,5.87
010934-715609.png,9.91,7.53
010123-721854.png,6.53,6.08
005507-715725.png,6.61,6.14
010447-722922.png,6.55,6.01
010947-722131.png,6.67,6.19
010951-722135.png,16.2,9.76
010958-722133.png,7.48,7.06
005732-721302.png,6.82,6.05
010018-724122.png,6.66,6.22
005827-720500.png,6.32,5.89
005848-714644.png,6.59,6.05
010208-714544.png,7.4,6.96
010426-713504.png,6.96,6.19
005629-720404.png,6.98,6.53
005848-720035.png,6.84,6.54
010704-715153.png,6.56,6.11
005930-712403.png,7.45,6.11
005747-720433.png,7.01,6.66
010026-722105.png,7.39,6.16
005557-721959.png,6.37,6.14
010720-722548.png,6.64,5.9
010138-720005.png,7.32,6.05
010117-714816.png,6.23,6.05
005523-714403.png,6.65,6.13
011029-722425.png,10.47,8.23
010839-722229.png,6.68,5.86
010829-714409.png,6.53,6.27
005820-713551.png,7.68,6.82
010207-722623.png,6.74,6.0
005544-715326.png,6.55,6.28
010732-712549.png,6.71,6.0
010231-712545.png,6.78,6.27
005837-713550.png,6.71,6.27
010132-720726.png,7.01,5.99
010625-715622.png,6.48,6.08
005953-714303.png,6.55,6.13
005833-723211.png,6.5,6.01
011120-722257.png,7.71,6.79
010854-723001.png,6.63,6.02
010345-722606.png,8.67,6.56
010914-713634.png,6.62,6.08
010039-722801.png,6.42,6.02
010455-721911.png,6.24,6.16
