subject_id,Filename,flag_rad_point,a,b,is_point
91319114,010058-713529.png,0.0,6.6,6.18,1.0
91319115,010203-723101.png,1.0,8.49,6.22,0.0
91319116,010211-712021.png,0.0,6.53,6.03,1.0
91319117,010216-711953.png,0.0,6.65,6.04,1.0
91319118,010344-715020.png,0.0,6.59,6.11,1.0
91319119,010355-712242.png,1.0,9.31,7.57,0.0
91319120,010429-723111.png,1.0,9.96,7.92,0.0
91319121,010435-713023.png,1.0,10.08,7.58,0.0
91319122,010440-714431.png,0.0,8.6,7.21,0.0
91319123,010505-722707.png,0.0,6.48,6.0,1.0
91319124,010637-723116.png,1.0,15.14,8.85,0.0
91319125,010741-715125.png,1.0,6.54,6.08,1.0
91319126,010745-720438.png,1.0,6.53,6.16,1.0
91319127,010914-713634.png,0.0,6.62,6.08,1.0
91319128,010916-722038.png,0.0,6.66,6.14,1.0
91319129,011008-721704.png,1.0,6.98,6.17,1.0
91319130,011108-722309.png,1.0,6.56,6.12,1.0
91319131,011115-715137.png,0.0,11.32,10.3,0.0
91319132,011119-713854.png,0.0,15.22,10.82,0.0
91319133,011143-720244.png,1.0,6.69,6.08,1.0
91319134,005534-721056.png,0.0,8.09,7.47,0.0
91319135,005536-715444.png,1.0,7.29,6.85,0.0
91319136,005600-720909.png,0.0,6.6,6.07,1.0
91319137,005820-713551.png,0.0,7.68,6.82,0.0
91319138,005822-715957.png,0.0,7.76,6.68,0.0
91319139,005834-712625.png,1.0,12.75,12.63,0.0
91319140,005843-722520.png,1.0,13.17,12.62,0.0
91319141,005913-715854.png,1.0,6.89,6.58,1.0
91319142,010007-722248.png,0.0,7.67,6.67,0.0
91319143,010025-714342.png,1.0,6.56,6.18,1.0
91319144,010104-722818.png,1.0,7.47,6.75,0.0
91319145,010142-720620.png,1.0,6.6,6.08,1.0
91319146,010207-722623.png,1.0,6.74,6.0,1.0
91319147,010350-713915.png,1.0,6.94,6.04,1.0
91319148,010353-720826.png,0.0,6.75,6.63,1.0
91319149,010358-713941.png,0.0,6.68,6.3,1.0
91319150,010430-720014.png,0.0,6.61,6.06,1.0
91319151,010431-722326.png,1.0,6.86,6.04,1.0
91319152,010447-722922.png,1.0,6.55,6.01,1.0
91319153,010550-721727.png,0.0,6.65,6.04,1.0
91319154,010603-722322.png,1.0,6.67,5.96,1.0
91319155,010608-713613.png,1.0,6.55,6.03,1.0
91319156,010714-722339.png,1.0,7.37,6.66,0.0
91319157,010756-722510.png,0.0,6.5,6.21,1.0
91319158,010813-722740.png,0.0,8.07,6.74,0.0
91319159,010850-721557.png,0.0,6.57,6.1,1.0
91319160,010854-721208.png,0.0,6.65,6.1,1.0
91319161,011043-722843.png,0.0,6.77,6.09,1.0
91319162,011045-722856.png,0.0,9.51,6.25,0.0
91319163,011107-721939.png,1.0,6.78,6.11,1.0
91319164,005526-715924.png,0.0,9.05,6.83,0.0
91319165,005620-721404.png,0.0,6.45,5.95,1.0
91319166,005629-720404.png,0.0,6.98,6.53,1.0
91319167,005700-715358.png,0.0,6.61,6.16,1.0
91319168,005734-723244.png,0.0,6.69,6.03,1.0
91319169,005954-721718.png,0.0,6.81,6.1,1.0
91319170,010047-714105.png,1.0,8.38,7.22,0.0
91319171,010120-714447.png,1.0,6.69,6.18,1.0
91319172,010126-714331.png,0.0,6.66,6.35,1.0
91319173,010200-721621.png,1.0,6.7,6.02,1.0
91319174,010228-722731.png,0.0,6.5,6.03,1.0
91319175,010228-724019.png,0.0,6.46,6.1,1.0
91319176,010232-715557.png,0.0,6.57,6.19,1.0
91319177,010236-712657.png,1.0,6.57,6.13,1.0
91319178,010347-722703.png,1.0,6.67,6.49,1.0
91319179,010407-712108.png,1.0,6.49,6.03,1.0
91319180,010447-720808.png,1.0,6.54,6.22,1.0
91319181,010533-721332.png,0.0,6.75,6.55,1.0
91319182,010541-723509.png,0.0,6.87,6.53,1.0
91319183,010557-713729.png,1.0,6.81,6.37,1.0
91319184,010619-715149.png,1.0,6.48,6.04,1.0
91319185,010713-715003.png,1.0,6.54,6.06,1.0
91319186,010803-712608.png,0.0,6.68,6.1,1.0
91319187,010854-720540.png,1.0,6.59,6.04,1.0
91319188,010933-721215.png,0.0,6.57,6.15,1.0
91319189,011025-720529.png,0.0,13.08,6.39,0.0
91319190,011045-720608.png,0.0,6.56,6.29,1.0
91319191,011055-721729.png,1.0,6.52,6.05,1.0
91319192,011132-714451.png,1.0,7.73,6.66,0.0
91319193,011151-715439.png,1.0,6.55,6.1,1.0
91319194,011250-715902.png,0.0,6.55,6.12,1.0
91319195,005544-720325.png,0.0,6.56,6.13,1.0
91319196,005653-721243.png,1.0,6.73,6.16,1.0
91319197,005935-720405.png,0.0,7.66,7.37,0.0
91319198,005954-715811.png,0.0,6.74,6.0,1.0
91319199,010056-714413.png,0.0,6.5,6.1,1.0
91319200,010058-714523.png,0.0,8.16,6.68,0.0
91319201,010059-712450.png,0.0,8.53,7.86,0.0
91319202,010240-721600.png,1.0,11.44,9.34,0.0
91319203,010256-721726.png,0.0,6.46,6.11,1.0
91319204,010314-721730.png,0.0,6.64,6.03,1.0
91319205,010332-722206.png,0.0,6.84,6.14,1.0
