,subject_id,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl
115,91321892,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b4d3119e-7b6e-43b3-b62c-0ea45795a5a3.png
116,91321904,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2f2818c5-9491-48a9-aff0-f67c74022c21.png
117,91321948,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fac4a4e7-cbf5-4e7a-b00a-223ab21a8514.png
118,91321957,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e0a00234-8daf-463e-8ec2-830c31fb36b2.png
119,91321983,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d9bcf51f-cff6-4b69-8195-bff3f1a7e45f.png
120,91321994,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8de9634e-baec-4a6f-b999-5590938a771c.png
121,91322005,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c9b2ce5a-1ca4-4b8a-a4b6-3fe7b9a863cb.png
122,91322015,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e9444b22-dcb7-4a53-86c1-b7a6d3bf13e1.png
123,91322020,5.0,0.0,5.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/47210723-6612-4217-9cbe-9e8a49117703.png
124,91322030,5.0,1.0,4.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/cd77cffd-a81e-4010-b9d3-82731ae765b9.png
125,91322056,5.0,0.0,5.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/72d0d6ff-4024-4cf8-8062-b5ce4acd3774.png
126,91322095,5.0,1.0,4.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/454fcde4-ffd1-4bdc-b4c2-56f4d4d28e4c.png
127,91322105,5.0,0.0,5.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8def6a27-f57d-403e-8c6f-5d7ab5213524.png
