,subject_id,data.yes,data.no,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.yes-it-looks-like-a-radio-point-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,multi-source,homogeneous,point-star,oddORnot-sure,core-in-diffuse,Sum,Total_Class,multiFrac,homoFrac,pointFrac,unsureOddFrac,coreFrac,ext_radFrac,point_radFrac,flag_rad_point,flag_rad_extended,flag_rad_unsure,flag_optical_counterpart,metadata,locations,classifications_count,Filename,LCurl
1034,91321560,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"{""Filename"":""012649-731930.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/359226af-4c4d-4e8a-a380-fe269f6d6e55.png""}",5,012649-731930.png,https://panoptes-uploads.zooniverse.org/subject_location/359226af-4c4d-4e8a-a380-fe269f6d6e55.png
1035,91321561,2.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"{""Filename"":""012649-740312.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2a99a87c-e1cf-4fad-a197-52cf0d62d4f8.png""}",5,012649-740312.png,https://panoptes-uploads.zooniverse.org/subject_location/2a99a87c-e1cf-4fad-a197-52cf0d62d4f8.png
1036,91321563,1.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,"{""Filename"":""012650-732548.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e26a38c1-9593-4164-a733-7ab555fcccde.png""}",5,012650-732548.png,https://panoptes-uploads.zooniverse.org/subject_location/e26a38c1-9593-4164-a733-7ab555fcccde.png
1037,91321564,2.0,3.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"{""Filename"":""012651-735303.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/1abf9e2b-8922-4f16-a9eb-fb87f4b4badf.png""}",5,012651-735303.png,https://panoptes-uploads.zooniverse.org/subject_location/1abf9e2b-8922-4f16-a9eb-fb87f4b4badf.png
1038,91321566,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012652-731745.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d6924930-1b41-47c9-8a8a-afd7d57c9cd1.png""}",5,012652-731745.png,https://panoptes-uploads.zooniverse.org/subject_location/d6924930-1b41-47c9-8a8a-afd7d57c9cd1.png
1039,91321567,2.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"{""Filename"":""012652-735256.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ae771143-ca08-4494-878f-b98c956d96f9.png""}",5,012652-735256.png,https://panoptes-uploads.zooniverse.org/subject_location/ae771143-ca08-4494-878f-b98c956d96f9.png
1040,91321569,1.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"{""Filename"":""012652-740305.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b22b6fef-77ce-45ae-ba45-afd310320441.png""}",5,012652-740305.png,https://panoptes-uploads.zooniverse.org/subject_location/b22b6fef-77ce-45ae-ba45-afd310320441.png
1041,91321570,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,5.0,0.0,0.0,0.75,0.25,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""Filename"":""012652-740416.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/eb6f4b01-65d9-478a-9902-94af1cef7cb9.png""}",5,012652-740416.png,https://panoptes-uploads.zooniverse.org/subject_location/eb6f4b01-65d9-478a-9902-94af1cef7cb9.png
1042,91321571,2.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012653-734335.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2851e88f-1b07-40a9-a163-b1f874d7ad16.png""}",5,012653-734335.png,https://panoptes-uploads.zooniverse.org/subject_location/2851e88f-1b07-40a9-a163-b1f874d7ad16.png
1043,91321572,1.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,"{""Filename"":""012654-731803.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3bd0db50-7e57-47de-8df1-064693e36bbf.png""}",5,012654-731803.png,https://panoptes-uploads.zooniverse.org/subject_location/3bd0db50-7e57-47de-8df1-064693e36bbf.png
