subject_id,Filename,a,b,is_point
91319509,010251-722800.png,6.48,6.4,1.0
91319511,010344-714925.png,6.58,5.9,1.0
91319512,010348-722456.png,6.67,5.99,1.0
91319514,010515-720517.png,7.1,6.84,1.0
91319524,010729-712639.png,6.8,6.18,1.0
91319526,010746-721235.png,6.27,6.1,1.0
91319533,005700-713659.png,6.64,6.19,1.0
91319539,010102-713500.png,6.48,6.26,1.0
91319541,010112-715838.png,6.2,6.02,1.0
91319551,010422-713338.png,6.71,6.18,1.0
91319560,010654-715437.png,6.68,6.15,1.0
91319561,010720-722548.png,6.64,5.9,1.0
91319563,010740-715246.png,6.81,6.02,1.0
91319564,010815-722246.png,6.72,5.98,1.0
91319566,010859-713350.png,7.59,6.37,1.0
91319568,010906-721206.png,6.46,6.11,1.0
91319569,010918-713819.png,6.66,5.76,1.0
91319584,005827-720500.png,6.32,5.89,1.0
91319587,005930-712403.png,7.45,6.11,1.0
91319590,010035-722602.png,6.62,6.22,1.0
91319592,010037-723856.png,6.26,5.96,1.0
91319594,010116-720516.png,6.41,6.29,1.0
91319597,010232-712159.png,8.38,7.72,0.0
91319607,010521-714419.png,7.2,6.05,1.0
91319614,010839-722229.png,6.68,5.86,1.0
91319617,011018-720958.png,6.75,6.53,1.0
91319619,011137-714920.png,6.88,5.98,1.0
91319621,011142-715117.png,6.65,5.96,1.0
91319625,005829-714910.png,6.54,6.02,1.0
91319631,010055-723657.png,6.53,6.32,1.0
91319633,010111-712638.png,7.52,6.7,0.0
91319634,010117-714816.png,6.23,6.05,1.0
91319636,010212-721901.png,6.49,6.23,1.0
91319638,010216-712529.png,6.52,6.2,1.0
91319642,010310-714600.png,6.7,6.27,1.0
91319644,010344-715938.png,6.7,6.32,1.0
91319652,010455-721911.png,6.24,6.16,1.0
91319661,010739-722320.png,6.71,6.32,1.0
91319674,010026-722105.png,7.39,6.16,1.0
91319675,010028-715201.png,8.38,6.12,0.0
91319677,010046-715911.png,6.59,6.42,1.0
91319678,010113-714652.png,7.87,7.78,0.0
91319687,010415-720005.png,7.03,6.99,0.0
91319691,010603-724124.png,9.81,7.76,0.0
91319692,010606-715251.png,6.52,6.37,1.0
91319695,010640-720310.png,7.46,6.86,0.0
91319706,010845-713815.png,6.56,5.71,1.0
91319707,010919-713112.png,6.55,6.25,1.0
91319708,010930-714230.png,8.04,7.65,0.0
91319711,005800-713903.png,6.55,5.91,1.0
91319718,010035-724056.png,6.85,6.35,1.0
91319719,010038-712643.png,6.97,6.37,1.0
91319724,010153-721416.png,6.56,6.2,1.0
91319726,010215-713558.png,6.78,5.93,1.0
